id,key,value,type
158052886,created_by,JOSM,regular
158052908,created_by,JOSM,regular
158052919,created_by,JOSM,regular
158052929,created_by,JOSM,regular
158052958,created_by,JOSM,regular
158053110,created_by,JOSM,regular
158053263,created_by,JOSM,regular
158053284,created_by,JOSM,regular
158053301,created_by,JOSM,regular
158053346,created_by,JOSM,regular
158066774,created_by,JOSM,regular
158066797,created_by,JOSM,regular
158066826,created_by,JOSM,regular
158066863,created_by,JOSM,regular
158066919,created_by,JOSM,regular
158066942,created_by,JOSM,regular
158066973,created_by,JOSM,regular
158067005,created_by,JOSM,regular
158067051,created_by,JOSM,regular
158067112,created_by,JOSM,regular
158067170,created_by,JOSM,regular
158067194,created_by,JOSM,regular
158067223,created_by,JOSM,regular
158067246,created_by,JOSM,regular
158067317,exit_to,Kranji Expressway,regular
158067317,highway,motorway_junction,regular
158067317,name,Tengah,regular
158067317,ref,35,regular
158067503,created_by,JOSM,regular
158067532,created_by,JOSM,regular
158067568,created_by,JOSM,regular
158067582,created_by,JOSM,regular
158067624,created_by,JOSM,regular
158067656,created_by,JOSM,regular
158067682,created_by,JOSM,regular
158067705,created_by,JOSM,regular
158067840,exit_to,Pan Island Expressway,regular
158067840,highway,motorway_junction,regular
158067840,name,Tengah,regular
158067840,ref,7,regular
158067868,created_by,JOSM,regular
158094638,created_by,JOSM,regular
158094918,created_by,JOSM,regular
172415495,highway,traffic_signals,regular
172415514,highway,traffic_signals,regular
172415668,highway,traffic_signals,regular
172424179,highway,traffic_signals,regular
172468190,highway,crossing,regular
172468264,highway,traffic_signals,regular
172468264,traffic_signals,signal,regular
172468305,highway,traffic_signals,regular
172468305,traffic_signals,signal,regular
172510077,highway,traffic_signals,regular
172510118,created_by,JOSM,regular
172518005,created_by,JOSM,regular
172549227,highway,traffic_signals,regular
172549227,source,Kaart Ground Survey 2017,regular
172549807,highway,traffic_signals,regular
172549807,traffic_signals,signal,regular
172549834,highway,traffic_signals,regular
172549834,traffic_signals,signal,regular
175226713,created_by,JOSM,regular
175226729,created_by,JOSM,regular
175226894,created_by,JOSM,regular
175227339,created_by,JOSM,regular
175227380,created_by,JOSM,regular
175227578,created_by,JOSM,regular
175258680,highway,traffic_signals,regular
175258713,highway,traffic_signals,regular
175259203,highway,traffic_signals,regular
175259218,highway,traffic_signals,regular
175259521,crossing,traffic_signals,regular
175259521,highway,traffic_signals,regular
175259756,crossing,traffic_signals,regular
175259756,highway,traffic_signals,regular
175259756,source,Kaart Ground Survey 2017,regular
175259772,crossing,traffic_signals,regular
175259772,highway,traffic_signals,regular
175259772,source,Kaart Ground Survey 2017,regular
175280505,name,Macritchie Viaduct,regular
175288658,created_by,JOSM,regular
175296223,created_by,JOSM,regular
175296342,created_by,JOSM,regular
175296516,created_by,JOSM,regular
175297013,created_by,JOSM,regular
175320039,created_by,JOSM,regular
175320111,created_by,JOSM,regular
175320156,created_by,JOSM,regular
175320184,created_by,JOSM,regular
175320211,created_by,JOSM,regular
177001728,highway,traffic_signals,regular
177003137,highway,traffic_signals,regular
206089580,highway,traffic_signals,regular
206089580,traffic_signals,signal,regular
206092294,highway,traffic_signals,regular
206092294,traffic_signals,signal,regular
206100700,highway,traffic_signals,regular
206100701,highway,traffic_signals,regular
206101421,highway,traffic_signals,regular
206101421,traffic_signals,signal,regular
206224107,highway,traffic_signals,regular
206224107,traffic_signals,signal,regular
206224115,highway,traffic_signals,regular
206224115,traffic_signals,signal,regular
206250869,highway,traffic_signals,regular
206250869,traffic_signals,signal,regular
206256139,created_by,JOSM,regular
206256147,highway,traffic_signals,regular
206256147,traffic_signals,signal,regular
206256176,highway,traffic_signals,regular
206256176,traffic_signals,signal,regular
206401640,highway,traffic_signals,regular
206402705,highway,traffic_signals,regular
206402705,source,Kaart Ground Survey 2017,regular
206477134,name,Aljunied,regular
206477134,en,Aljunied,name
206477134,zh,阿裕尼,name
206477134,network,MRT,regular
206477134,public_transport,station,regular
206477134,railway,station,regular
206477134,ref,EW9,regular
206477134,source,Kaart Ground Survey 2017,regular
206477134,station,subway,regular
206477134,wikidata,Q3272290,regular
206477134,wikipedia,en:Aljunied MRT Station,regular
206493462,name,Kallang,regular
206493462,en,Kallang,name
206493462,zh,加冷,name
206493462,network,MRT,regular
206493462,public_transport,station,regular
206493462,railway,station,regular
206493462,ref,EW10,regular
206493462,station,subway,regular
